Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),9.58,9.77,11.50,15.60,17.77,16.84,16.74,16.37,18.37,16.59,16.62,19.29
2014,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),194.65,237.98,271.11,162.53,191.10,152.33,85.86,48.16,44.83,25.35,136.57,298.37
2014,Merchandise Exports_Gold (Millions of US Dollars),368.83,361.72,432.32,373.24,345.79,346.23,372.24,370.77,398.17,359.44,312.98,346.33
2014,Merchandise Exports (f.o.b) (Millions of US Dollars),1114.61,1186.48,1282.35,1138.46,1141.46,1224.58,1005.92,956.83,1011.45,987.48,1079.80,1087.35
2013,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),32.37,200.27,86.83,428.85,243.20,338.60,344.34,556.27,485.69,733.06,254.26,144.69
2013,Merchandise Imports_Oil & Gas  (Millions of US Dollars),263.22,353.43,362.17,308.66,292.41,291.16,179.38,344.41,215.48,325.24,322.41,292.47
2013,Merchandise Imports_Non-Oil (Millions of US Dollars),1174.79,1010.16,1074.86,1283.53,1212.56,1126.73,1223.55,1162.62,1192.51,1381.73,1131.34,1075.54
2013,Merchandise Imports (f.o.b) (Millions of US Dollars),1438.01,1363.59,1437.03,1592.18,1504.98,1417.89,1402.93,1507.03,1407.99,1706.98,1453.75,1368.01
2013,Merchandise Exports_Crude Oil (Millions of US Dollars),336.22,340.67,432.04,290.95,300.88,304.70,312.05,333.07,326.90,208.54,394.46,304.84
2013,Merchandise Exports_Other Exports  (Millions of US Dollars),259.79,203.00,225.08,301.19,249.14,283.19,251.48,263.34,266.56,283.64,265.60,271.05
2013,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),12.26,12.74,14.36,14.77,13.13,14.63,13.94,13.73,14.40,13.91,13.85,14.05
2013,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),221.85,183.99,215.10,192.33,192.77,110.88,64.09,40.83,20.28,32.32,88.11,249.50
2013,Merchandise Exports_Gold (Millions of US Dollars),575.52,422.92,463.62,364.09,505.86,365.88,417.03,299.80,294.15,435.51,437.46,383.87
2013,Merchandise Exports (f.o.b) (Millions of US Dollars),1405.64,1163.32,1350.20,1163.33,1261.78,1079.28,1058.59,950.77,922.29,973.91,1199.49,1223.32
2012,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),51.40,8.30,59.66,367.39,486.17,478.77,695.06,522.53,420.47,460.01,384.92,384.83
